Program/Agency Name,Project Name,Sub-Project Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Total 10 Year,Ward Number,Ward,Category
Economic Development and Culture,Restoration/Preservation of Heritage Elements,John Bales House - FY,0,300,200,200,0,0,0,0,300,0,1000,18,Willowdale,State of Good Repair
Seniors Services and Long-Term Care,SPIF Community Parkland,SPIF Community Parkland - Kipling Acres,110,110,1111.28,0,0,0,0,0,0,0,1331.28,1,Etobicoke North,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Various Bldgs-Facility Rehabilitation,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,45000,CW,City Wide,State of Good Repair
Toronto Housing Corporation,TCHC Development Capital Projects,TCHC - DEVELOPMENT - IN-FLIGHT,15860,12556,1584,0,0,0,0,0,0,0,30000,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Facility Components,Capital Asset Management Planning,0,0,1200,1200,1200,1200,1200,1200,1200,1200,9600,CW,City Wide,State of Good Repair
Toronto Housing Corporation,TCHC Building Repair Capital,TCHC Building Repair Capital,131783,160000,160000,160000,0,0,0,0,0,0,611783,CW,City Wide,State of Good Repair
Housing Secretariat,Emergency Housing Action,Emergency Housing Action,47000,0,0,0,0,0,0,0,0,0,47000,CW,City Wide,Service Improvement and Enhancement
Housing Secretariat,Housing Now,Housing Now Capital Cost,0,0,-543,0,0,-687,-5682,-1526,0,0,-8438,CW,City Wide,Service Improvement and Enhancement
Housing Secretariat,Rental Development,Rental Development,0,8922,0,0,0,0,0,0,0,0,8922,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Phase 1 Capital Cost,28217,0,0,0,0,0,0,0,0,0,28217,CW,City Wide,Growth Related
Seniors Services and Long-Term Care,4610 Finch Ave East,4610 Finch Ave East,1000,6274,14887,14026,0,0,0,0,0,0,36187,23,Scarborough-North,Growth Related
Seniors Services and Long-Term Care,Building SOGR,Building SOGR - 2022,1447,0,0,0,0,0,0,0,0,0,1447,CW,City Wide,State of Good Repair
"Shelter, Support & Housing Administration",625 Church,625 Church,768,550,0,0,0,0,0,0,0,0,1318,CW,City Wide,Service Improvement and Enhancement
"Shelter, Support & Housing Administration",AODA,AODA,0,0,2194,644,788,0,0,0,0,0,3626,CW,City Wide,Legislated
Children's Services,TCH Needle Firway,TCH Needle Firway,0,0,50,0,0,0,0,0,0,0,50,7,Humber River-Black Creek,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,FMP-Tennis Court Complex WO Lights (1) Muirlands,28,0,0,0,0,0,0,0,0,0,28,23,Scarborough-North,Growth Related
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,FMP-Tennis Court Complex with Lights (1) South,0,70,990,0,0,0,0,0,0,0,1060,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Arena,FMP-Artificial Ice Rink (1) Design Fountainhead,8,0,0,0,0,0,0,0,0,0,8,7,Humber River-Black Creek,Growth Related
Toronto Paramedic Services,Multi-Function Station #3,MF#3 (FACILITY) - 610 Bay St (Phase 1),0,1000,1500,200,0,0,0,0,0,0,2700,CW,City Wide,Growth Related
Toronto Paramedic Services,Medical Equipment Replacement Program,Medical Equipment Replacement - 2023,700,0,0,0,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Toronto Paramedic Services,Additional Ambulances,Additional Ambulances (7 per year) - 2023,2800,0,0,0,0,0,0,0,0,0,2800,CW,City Wide,Growth Related
Fire Services,HUSAR Building Expansion,HUSAR Buidling Expansion-Change in Scope,0,2600,0,0,0,0,0,0,0,0,2600,CW,City Wide,Growth Related
Fire Services,Feasibility Study - Flemingdon Station,Feasibility Study - Flemingdon Station,185,0,0,0,0,0,0,0,0,0,185,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Investigation & Pre-Engineering SI&G,0,250,0,0,0,0,0,0,0,0,250,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Bluffer's Park Washroom Improvements,0,2000,0,0,0,0,0,0,0,0,2000,20,Scarborough Southwest,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Environmental Initiatives,Community Access to Ravines,308,0,0,0,0,0,0,0,0,0,308,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Maple Leaf Pk New Splash Pad,268,0,0,0,0,0,0,0,0,0,268,5,York South-Weston,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Information Technology,IT-311 Customer Service Strategy,325,353,0,0,0,0,0,0,0,0,678,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Wigmore Park Splash Pad and Playground,50,1400,50,0,0,0,0,0,0,0,1500,16,Don Valley East,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Arena,2023 Reduction Target CAMP (SGR) Arenas,-5140,0,0,0,0,0,0,0,0,0,-5140,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Park Development,FMP-Dogs Off Leash Area (1),30,470,0,0,0,0,0,0,0,0,500,25,Scarborough-Rouge Park,Growth Related
"Parks, Forestry & Recreation",Community Centres,FMP-Masaryk-Cowan CC - Upgrades,0,0,0,270,0,0,0,0,0,0,270,4,Parkdale-High Park,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Community Centres,FMP-Wallace Emerson (Galleria) Redevelopment,5403,15300,0,0,0,0,0,0,0,0,20703,9,Davenport,Growth Related
"Parks, Forestry & Recreation",Arena,FMP Don Mills Community Recreation Facility Design,0,0,50,0,0,0,0,0,0,0,50,16,Don Valley East,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Land Acquisition,Green Line - Remediation,0,400,0,0,0,0,0,0,0,0,400,12,Toronto-St. Pauls,Legislated
"Parks, Forestry & Recreation",Park Development,76 Coral Gable Drive Park Development,0,700,0,0,0,0,0,0,0,0,700,7,Humber River-Black Creek,Growth Related
"Parks, Forestry & Recreation",Park Development,Lawrence Heights Ph1a-Baycrest Additional Funds,0,400,0,0,0,0,0,0,0,0,400,8,Eglinton-Lawrence,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,1500 St. Clair Avenue West - New Park Development,0,60,940,0,0,0,0,0,0,0,1000,9,Davenport,Growth Related
"Parks, Forestry & Recreation",Park Development,51 Drewry Avenue and Inez Court - Park Development,0,0,3000,3650,0,0,0,0,0,0,6650,18,Willowdale,Growth Related
"Parks, Forestry & Recreation",Park Development,Master Planning & Engagement,0,100,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Frank Faubert Woods Development,0,0,73,0,0,0,0,0,0,0,73,21,Scarborough Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Community Centres,FMP-Wallace Emerson (Galleria) Redevelopment,0,0,30000,0,0,0,0,0,0,0,30000,9,Davenport,Growth Related
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Play Enhancement Program,5800,0,0,0,0,0,0,0,0,0,5800,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,165,0,0,0,0,0,0,0,0,0,165,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,0,5551,0,0,0,0,0,0,0,0,5551,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Special Facilities,Ferry Design & Infrastructure,50,9250,0,0,0,0,0,0,0,0,9300,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Facility Components,Investigation & Pre-Engineering SI&G,275,0,0,0,0,0,0,0,0,0,275,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Facility Components,Critical Infrastructure,1750,0,0,0,0,0,0,0,0,0,1750,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Various Buildings - Facility Rehabilitation,1514,0,0,0,0,0,0,0,0,0,1514,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Various Buildings - Facility Rehabilitation,3586,0,0,0,0,0,0,0,0,0,3586,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,2023 Reduction Target Various Bldgs-Facility Rehab,-3586,0,0,0,0,0,0,0,0,0,-3586,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Capital Asset Management Planning,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Trails & Pathways,S Keelesdale Pk-Stair Improvt NE Corner Eglinton,0,251,0,0,0,0,0,0,0,0,251,5,York South-Weston,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Trails & Pathways,York Beltline Trail Improvements,500,825,0,0,0,0,0,0,0,0,1325,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Various Parks - Parks Rehabilitation,1878,0,0,0,0,0,0,0,0,0,1878,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Park Development,Priority Downtown Parks,0,560,0,0,0,0,0,0,0,0,560,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Park Development,Yonge Street Linear Parks Improvement S42,905,1000,0,0,0,0,0,0,0,0,1905,13,Toronto Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Market Ln Parkette & S Pk Devt Construction - S42,0,1200,0,0,0,0,0,0,0,0,1200,13,Toronto Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Market Ln Parkette & S Pk Devt Construction - S42,3275,0,0,0,0,0,0,0,0,0,3275,13,Toronto Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,318 Queens Quay W/Rees Pk Development Construction,500,2331,0,0,0,0,0,0,0,0,2831,10,Spadina-Fort York,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,150 Sterling - Above Base Park Development,0,0,11,128,0,0,0,0,0,0,139,9,Davenport,Growth Related
"Parks, Forestry & Recreation",Park Development,Lawrence Heights Ph1a-Baycrest Additional Funds,0,900,0,0,0,0,0,0,0,0,900,8,Eglinton-Lawrence,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Community Centres,FMP-40 Wabash Parkdale New CC (#7) - Construction,0,2000,0,17800,0,0,0,0,0,0,19800,4,Parkdale-High Park,Growth Related
"Parks, Forestry & Recreation",Community Centres,FMP-Etobicoke Civic Centre Community Centre,0,0,0,1704,0,0,0,0,0,0,1704,3,Etobicoke-Lakeshore,Growth Related
"Parks, Forestry & Recreation",Special Facilities,Lifeguard Stations and Stands,50,500,500,500,0,0,0,0,0,0,1550,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Special Facilities,2017 High Lake Effect - Flooding Damage & Repairs,0,2005,0,0,0,0,0,0,0,0,2005,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Special Facilities,"CAMP(SGR) Waterfront,Marine,Ftn&Seawall",-995,-1602,1365,0,0,0,0,0,0,0,-1232,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessels 1 & 2 Replacement,0,0,7153,0,0,0,0,0,0,0,7153,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,464-470 Queen St W - Park Development,153,1751,0,0,0,0,0,0,0,0,1904,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Park Development,64A Thirteenth St - Colonel Samuel Smith Pk Exp,0,0,333,0,0,0,0,0,0,0,333,3,Etobicoke-Lakeshore,Growth Related
"Parks, Forestry & Recreation",Park Development,Silver Creek Park Improvements S37 S42,100,0,0,0,0,0,0,0,0,0,100,2,Etobicoke Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Sunnydale Acres Park Improvements  S37,142,0,0,0,0,0,0,0,0,0,142,1,Etobicoke North,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Humber Bay Park East - Rehabilitation of Ponds,0,1830,0,0,0,0,0,0,0,0,1830,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Wayfinding for Parks and Trails,0,250,0,0,0,0,0,0,0,0,250,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Elie Wiesel Park Improvements S37,40,460,0,0,0,0,0,0,0,0,500,6,York Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Runnymede Park Improvements S37,55,745,0,0,0,0,0,0,0,0,800,5,York South-Weston,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Silverview Park Redevelopment Study S37,20,180,0,0,0,0,0,0,0,0,200,18,Willowdale,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,10 Ordnance Street Development - Design S42,25,0,0,0,0,0,0,0,0,0,25,10,Spadina-Fort York,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Wallace Emerson (Galleria) Park & Fieldhouse Ph 1,0,3698,0,0,0,0,0,0,0,0,3698,9,Davenport,Growth Related
"Parks, Forestry & Recreation",Park Development,Eglinton Park Master Plan Implementation,300,271,0,0,0,0,0,0,0,0,571,8,Eglinton-Lawrence,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Eglinton Park Master Plan Implementation,700,2429,0,0,0,0,0,0,0,0,3129,8,Eglinton-Lawrence,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Six Points Park Expansion,105,0,0,0,0,0,0,0,0,0,105,3,Etobicoke-Lakeshore,Growth Related
"Parks, Forestry & Recreation",Park Development,1001 Ellesmere Road - Park Development,257,500,0,0,0,0,0,0,0,0,757,21,Scarborough Centre,Growth Related
Economic Development and Culture,Major Maintenance,Theatre Passe Muraille AODA,50,0,0,0,0,0,0,0,0,0,50,10,Spadina-Fort York,Legislated
Economic Development and Culture,Streetscape Master Plan Program,2023 Streetscape Master Plan Program,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement
Economic Development and Culture,2023 BIA Equal Share Funding,2023 BIA Equal Share Funding,1309,0,0,0,0,0,0,0,0,0,1309,CW,City Wide,State of Good Repair
Economic Development and Culture,Collections Care,Collections Facility Mechanical,66,0,0,0,0,0,0,0,0,0,66,10,Spadina-Fort York,State of Good Repair
Economic Development and Culture,Collections Care,Collections Facility Mechanical,209,0,0,0,0,0,0,0,0,0,209,10,Spadina-Fort York,State of Good Repair
Economic Development and Culture,Eglinton Crosstown BIA Streetscape Improvements,Eglinton Crosstown BIA Streetscape Improvements,0,260,260,170,0,0,0,0,0,0,690,CW,City Wide,State of Good Repair
Economic Development and Culture,Cultural Infrastructure Development,Museum of Toronto Planning Study,150,0,0,0,0,0,0,0,0,0,150,13,Toronto Centre,Growth Related
"Parks, Forestry & Recreation",Community Centres,FMP-Western North York New CC (#5) Construction,0,0,0,20500,25000,0,0,0,0,0,45500,7,Humber River-Black Creek,Growth Related
"Parks, Forestry & Recreation",Park Development,Bathurst Quay - Canada Malting Waterfront Plaza,1000,5000,0,0,0,0,0,0,0,0,6000,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Outdoor Recreation Centres,East Mall Park New Fitness Equipment S42,17,158,0,0,0,0,0,0,0,0,175,2,Etobicoke Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Park Lawn Track S42,25,395,0,0,0,0,0,0,0,0,420,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Spadina Garage Restoration & AODA,300,0,0,0,0,0,0,0,0,0,300,12,Toronto-St. Pauls,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,2023 Reduction Target - John Mackenzie House,-5,0,0,0,0,0,0,0,0,0,-5,18,Willowdale,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,2023 Reduction Target - Elevated Wetlands-2021,-281,0,0,0,0,0,0,0,0,0,-281,16,Don Valley East,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,2023 Reduction Target - Todmorden Mills Centre,-100,0,0,0,0,0,0,0,0,0,-100,14,Toronto-Danforth,State of Good Repair
Economic Development and Culture,2021 BIA Equal Share Funding,2023 Reduction Target - 2021 BIA Equal Share Fundi,-50,0,0,0,0,0,0,0,0,0,-50,CW,City Wide,State of Good Repair
Economic Development and Culture,BIA Special Project,DUKE HeightsáBusiness Improvement Area Public Art,28,0,0,0,0,0,0,0,0,0,28,CW,City Wide,Growth Related
Economic Development and Culture,Streetscape Master Plan Program,2023 Reduction Target - 2022 Streetscape Master Pl,-50,0,0,0,0,0,0,0,0,0,-50,CW,City Wide,Service Improvement and Enhancement
Economic Development and Culture,BIA Financed Funding FF,2019 FF Toronto Entertainment District,1350,0,0,0,0,0,0,0,0,0,1350,10,Spadina-Fort York,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Todmorden Mills Centre,300,0,0,0,0,0,0,0,0,0,300,14,Toronto-Danforth,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Todmorden Mills Centre,100,0,0,0,0,0,0,0,0,0,100,14,Toronto-Danforth,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Indigenous Artwork Exhibition Place,200,0,0,0,0,0,0,0,0,0,200,10,Spadina-Fort York,Growth Related
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Colborne Lodge Roofing,150,350,0,0,0,0,0,0,0,0,500,4,Parkdale-High Park,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Fort York Blockhouses Restoration,200,300,0,0,0,0,0,0,0,0,500,10,Spadina-Fort York,State of Good Repair
Transportation Services,Local Road Rehabilitation,2023 to 2028 LRR Cash Flow,0,0,0,0,44526,61441,62730,64045,65386,69573,367701,CW,City Wide,State of Good Repair
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,51,1500,1800,1800,1800,1800,1800,1800,1800,1800,15951,CW,City Wide,Growth Related
Transportation Services,Steeles Widenings (Tapscott Road - Beare Road),2023 Adjustment Commitments,-3283,-7000,1640,5600,2700,0,0,0,0,0,-343,CW,City Wide,Growth Related
Transportation Services,Glen Road Pedestrian Bridge,2023 Adjustment Commitments,-4884,4373,-1958,0,0,0,0,0,0,0,-2469,11,University-Rosedale,Health and Safety
Transportation Services,TO360 Wayfinding,2023 Adjustment Commitments,0,604,0,0,0,0,0,0,0,0,604,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Don Mills Crossing Bridge,2023 Adjustment Commitments,0,4500,0,0,0,0,0,0,0,0,4500,16,Don Valley East,Growth Related
City Planning,DEVELOPMENT STUDIES,Growth Studies,0,120,0,0,0,0,0,0,0,0,120,CW,City Wide,Growth Related
City Planning,DEVELOPMENT STUDIES,Avenue/Area Studies,-150,0,0,0,0,0,0,0,0,0,-150,CW,City Wide,Growth Related
IDS Transit Expansion,Preliminary SmartTrack Estimates (CCI111),Flood Protection Program,4600,0,0,0,0,0,0,0,0,0,4600,CW,City Wide,Growth Related
Transportation Services,Neighbourhood Improvements,MM47.56 Carlaw and Dundas Community (Boston Ave),0,55,0,0,0,0,0,0,0,0,55,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Neighbourhood Improvements,MM47.23 Pleasant View Participatory Budget,0,120,0,0,0,0,0,0,0,0,120,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Neighbourhood Improvements,MPB4.1 Motion 6 University Ave at Wellington,0,198,0,0,0,0,0,0,0,0,198,10,Spadina-Fort York,Service Improvement and Enhancement
Transportation Services,Traffic Plant Requirements/Signal Asset Management,2023 Reduction Target,-2000,-4000,0,0,0,0,0,0,0,0,-6000,CW,City Wide,State of Good Repair
Transportation Services,Laneways,2023 Reduction Target,-1400,0,0,0,0,0,0,0,0,0,-1400,CW,City Wide,State of Good Repair
Transportation Services,RSP Accessible Pedestrian Signals,2018 Adjustment,-89,-89,-89,0,0,0,0,0,0,0,-267,CW,City Wide,Health and Safety
Transportation Services,Regent Park Revitalization,2023 Adjustment Commitments,789,0,0,0,0,0,0,0,0,0,789,CW,City Wide,Growth Related
Waterfront Revitalization Initiative,Quayside,Quayside Transportation Infrastructure,25100,18320,20520,5460,0,0,0,0,0,0,69400,10,Spadina-Fort York,Growth Related
Waterfront Revitalization Initiative,Quayside,Quayside Transportation Infrastructure,0,1400,9960,3640,0,0,0,0,0,0,15000,10,Spadina-Fort York,Growth Related
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,EBF Local Infrastructure Charge,1974,5901,5568,0,0,0,0,0,0,0,13443,10,Spadina-Fort York,Growth Related
Transportation Services,Port Union Road,2018 Adjust Cash Flow for 2018 to 2021,1845,0,0,0,0,0,0,0,0,0,1845,25,Scarborough-Rouge Park,Growth Related
Transportation Services,Don Valley Parkway Rehabilitation,2022 Adjustment Commitments,0,4179,2558,0,0,0,0,0,0,0,6737,CW,City Wide,State of Good Repair
Transportation Services,Dufferin Street Bridge Rehabilitation,2018 to 2023 Accelerated Cash Flow,7650,0,0,0,0,0,0,0,0,0,7650,CW,City Wide,State of Good Repair
Transportation Services,Surface Network Transit Plan,2023 Commitment Adjustment,-943,-905,-1652,458,1014,1014,1014,0,0,0,0,CW,City Wide,Service Improvement and Enhancement
Transportation Services,LARP P3 (Lawrence-Allen Revitalization Project),2022 Submision,0,0,0,0,0,0,1500,3000,4500,0,9000,8,Eglinton-Lawrence,Growth Related
Transportation Services,Neighbourhood Improvements,MM44.64 N.I. Ramsden Park Road Streetscape,0,433,0,0,0,0,0,0,0,0,433,11,University-Rosedale,Service Improvement and Enhancement
Transportation Services,Metrolinx Additional Infrastructure,Metrolinx Additional Infrastructure,-4000,0,0,0,0,0,0,0,0,0,-4000,CW,City Wide,Growth Related
Transportation Services,Metrolinx Additional Infrastructure,2022 Commitment Adjustment,7416,0,0,0,0,0,0,0,0,0,7416,CW,City Wide,Growth Related
Transportation Services,Laneways,2021 Adjustment Commitments,0,700,1968,0,0,0,0,0,0,0,2668,CW,City Wide,State of Good Repair
Transportation Services,Laneways,2022 Adjustment Commitments,0,0,0,1998,0,0,0,0,0,0,1998,CW,City Wide,State of Good Repair
Transportation Services,Major Pooled Contingency,2022 Adjustment Commitments,-1637,1637,0,0,0,0,0,0,0,5000,5000,CW,City Wide,State of Good Repair
Transportation Services,Broadview Extension,2022 Commitment Adjustment,0,4510,0,0,0,0,0,0,0,0,4510,14,Toronto-Danforth,Growth Related
Transportation Services,Legion Road Extension & Grade Separation,2018 Adjust Cash Flow for 2018 to 2023,7695,0,0,0,0,0,0,0,0,0,7695,3,Etobicoke-Lakeshore,Growth Related
Transportation Services,RSP Accessible Pedestrian Signals,Adjust Funding - 2017 to  2025,276,0,-1371,0,0,0,0,0,0,0,-1095,CW,City Wide,Health and Safety
Transportation Services,Retaining Walls Rehabilitation,2021 Adjustment Commitments,1400,1421,0,0,0,0,0,0,0,0,2821,CW,City Wide,State of Good Repair
Transportation Services,North York Service Road Extension,2022 Commitment Adjustment,800,4000,0,0,0,0,0,0,0,0,4800,18,Willowdale,Growth Related
Transportation Services,RSP Transportation Safety & Local Improvement,2020 Adjustment Commitments,113,115,0,0,0,0,0,0,0,0,228,CW,City Wide,Health and Safety
Transportation Services,RSP Missing Link Sidewalk,2023 Adjustment Commitments,-815,0,815,0,1200,0,0,0,0,0,1200,CW,City Wide,Health and Safety
Transportation Services,RSP New Traffic Control Signals / Devices,2022 Adjustment Commitments,0,2781,0,0,0,0,0,0,0,0,2781,CW,City Wide,Health and Safety
Transportation Services,Traffic Plant Requirements/Signal Asset Management,2021 Final Year End Adjustment,2732,4000,0,0,0,0,0,0,0,0,6732,CW,City Wide,State of Good Repair
Transportation Services,LARP P2 (Lawrence-Allen Revitalization Project),2022 Submision,0,945,924,924,0,0,0,0,0,0,2793,8,Eglinton-Lawrence,Growth Related
Transportation Services,Engineering Studies,2022 Commitment Adjustment,640,0,1944,1944,0,0,0,0,0,0,4528,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Engineering Studies,2022 Commitment Adjustment,360,0,0,0,0,0,0,0,0,0,360,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Engineering Studies,2022 Commitment Adjustment,0,0,1094,1094,0,0,0,0,0,0,2188,CW,City Wide,Service Improvement and Enhancement
Transportation Services,RSP Traffic Signals Major Modifications,2023 Adjustment Commitments,-131,-37,85,83,192,0,0,0,0,0,192,CW,City Wide,Health and Safety
Transportation Services,F. G. Gardiner Rehabilitation Program,2018 - 2026 FGG AFP Plan B EX20.14,0,0,31470,0,0,0,0,0,0,0,31470,CW,City Wide,State of Good Repair
Transportation Services,F. G. Gardiner Rehabilitation Program,2022 Commitment Adjustment,7513,-7604,-99547,0,0,0,0,0,0,0,-99638,CW,City Wide,State of Good Repair
Transportation Services,Neighbourhood Improvements,2018-2027 Neighourhood Improvements,2000,500,0,0,0,0,0,0,0,0,2500,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Neighbourhood Improvements,MM31.26 Streetscape Improvements St Clair /OConnor,100,0,0,0,0,0,0,0,0,0,100,19,Beaches-East York,Service Improvement and Enhancement
Transportation Services,John Street Revitalization Project,2021 Adjustment Commitments,0,0,11500,0,0,0,0,0,0,0,11500,10,Spadina-Fort York,Growth Related
Transportation Services,John Street Revitalization Project,2022 Q1 In-year Adjustment,11,0,0,0,0,0,0,0,0,0,11,10,Spadina-Fort York,Growth Related
Transportation Services,MoveTO,2022 Commitment Adjustment,-1,174,0,0,0,0,0,0,0,0,173,CW,City Wide,Service Improvement and Enhancement
Transportation Services,City Bridge Rehabilitation,2021 Adjustment Commitments,19921,34379,0,0,0,0,0,0,0,0,54300,CW,City Wide,Health and Safety
Corporate Real Estate Management,Barrier Free/Equity,AODA INITIATIVE - PHASE 1 .2016,1000,2000,0,2000,0,0,0,0,0,0,5000,CW,City Wide,Legislated
Corporate Real Estate Management,Corporate Facilities Refurbishment Program,2023 Reduction Target - CFRP Phase II-2022,-500,0,0,0,0,0,0,0,0,0,-500,CW,City Wide,State of Good Repair
Corporate Real Estate Management,USR - Professional Services,UNS - Walks and Garden Trust Commemoration,150,0,0,0,0,0,0,0,0,0,150,10,Spadina-Fort York,Service Improvement and Enhancement
Corporate Real Estate Management,Sitework,VarLocs-SOGR Sitework 2021,2602.8,0,0,0,0,0,0,0,0,0,2602.8,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Sitework,VarLocs-SOGR Site Work 2022,-1481.65,1481.65,0,0,0,0,0,0,0,0,0,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2022,2779,504,0,0,0,0,0,0,0,0,3283,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2023,345,0,0,0,0,0,0,0,0,0,345,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Renovations,Capital Project Validation 2023,800,0,0,0,0,0,0,0,0,0,800,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Renovations,St Lawrence Market - South - Renovations,-825,-1325,-1500,0,0,0,0,0,0,0,-3650,13,Toronto Centre,Service Improvement and Enhancement
Corporate Real Estate Management,Renovations,2023 Reduction Target - Feasibility Study-BCA 2022,-470,0,0,0,0,0,0,0,0,0,-470,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Real Estate Services,2023 Reduction Target - SOGR LEASED 2022,-500,0,0,0,0,0,0,0,0,0,-500,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Real Estate Services,New Etobicoke CC - Phase 4 Tender & Construction,-3970,4900,73422,165036,0,0,0,0,0,0,239388,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
