Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
TO Live,MH - Building Envelope,MH - Building Condition Assessment,85,0,0,0,0,90,0,0,0,0,175,13,Toronto Centre,State of Good Repair C03
TO Live,St Lawrence Centre for the Arts - SOGR,STLC - SOGR Projects (Future),8597,6781,3139,5754,4000,2100,3000,0,3000,0,36371,13,Toronto Centre,State of Good Repair C03
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",New Brunswick Way Improvement/Road Widening,0,0,0,0,0,0,0,0,0,500,500,10,Spadina-Fort York,Service Improvement and Enhancement C04
Exhibition Place,OTHER BUILDINGS,Clock Tower Retrofit at Fire Hall,0,0,385,0,0,0,0,0,0,0,385,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Miscellaneous HVAC Equipment,0,0,0,0,400,0,0,0,0,0,400,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Concrete Slab Replacement (Industry Bld) in Phases,0,0,0,0,0,100,0,0,0,0,100,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,Electrical Buss Duct Replacement in Phases,0,0,0,200,200,800,600,0,0,700,2500,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,FOOD BUILDING,Bus Duct Replacement,0,250,250,0,0,0,0,0,0,0,500,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,FOOD BUILDING,Replace Exterior Windows,0,0,0,0,0,0,200,100,0,0,300,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,FOOD BUILDING,Fire Alarm System Renewal,50,0,0,100,0,0,100,150,100,0,500,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,HORSE PALACE,West Side Roof Replacement and PV Temp Relocation,0,0,0,0,100,500,500,700,0,0,1800,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,HORSE PALACE,East Side Roof Replacement & PV Temp Relocation,0,0,100,1000,600,0,0,0,0,0,1700,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,GENERAL SERVICES BUILDING,Roof Replacement -Various,0,0,0,0,150,350,0,0,0,750,1250,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,GENERAL SERVICES BUILDING,Replacement of 2nd Floor IGUs,0,0,0,0,0,75,0,0,0,0,75,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,GENERAL SERVICES BUILDING,Plumbing & HVAC Equipment Replacement,0,200,200,0,0,0,0,0,0,0,400,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Pneumatic Valves to Direct Controls Modernization,200,300,300,500,0,0,0,0,0,400,1700,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Roof Sectional Replacement OverExhibitHalls,0,0,0,0,2000,1000,0,0,0,0,3000,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),LED Lighting & Conservation/Demand Management,300,200,0,0,200,0,0,0,0,0,700,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace AHU - Heritage Court in Phases,0,0,300,300,300,0,0,0,0,0,900,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace AHU-SwingS/LoadingD/Salons/Kitchen/Office,0,0,350,0,300,0,0,0,0,0,650,10,Spadina-Fort York,State of Good Repair C03
Toronto Public Health,Public eLearning,Public ELearning,0,550,942,940,0,0,0,0,0,0,2432,CW,City Wide,Service Improvement and Enhancement C04
Yonge-Dundas Square,Costs of Maintaining SOGR,SOGR Immediate Requirements.,335,0,35,0,7.5,245.5,0,100,0,30,753,13,Toronto Centre,State of Good Repair C03
TO Live,MH - Theatre Systems and Equipment,MH - PSVC Systems (Future),0,0,20,405,0,0,0,0,0,0,425,13,Toronto Centre,State of Good Repair C03
Toronto & Region Conservation Authority,WATERFRONT DEVELOPMENT,Wtrfrnt Dev:Environmental Monitoring Program,245,245,245,245,245,245,245,245,245,245,2450,CW,City Wide,State of Good Repair C03
Toronto & Region Conservation Authority,WATERFRONT & VALLEY EROSION CONTROL,Shoreline Monitoring & Maintenance,200,200,200,200,200,200,200,200,200,200,2000,CW,City Wide,State of Good Repair C03
Toronto & Region Conservation Authority,LIVING CITY ACTION PLAN,Regional Watershed Management 2008+,1532,1599,1642,1776,1916,2034,2038,2040,2045,2045,18667,CW,City Wide,State of Good Repair C03
Toronto Public Library,Technology Asset Management Program,TAMP Automated Sorter Replacement Program,0,0,1200,835,443,456,470,483,0,0,3887,CW,City Wide,State of Good Repair C03
Toronto Public Library,High Park Renovation and Expansion (S7),High Park Renovation and Expansion (S7) Design,0,324,264,0,0,0,0,0,0,0,588,4,Parkdale-High Park,Growth Related C05
Toronto Public Library,High Park Renovation and Expansion (S7),High Park Renovation and Expansion (S7) Constructi,0,0,0,0,3525,5446,1600,0,0,0,10571,4,Parkdale-High Park,Growth Related C05
Toronto Public Library,High Park Renovation and Expansion (S7),High Park Renovation and Expansion (S7) Constructi,0,0,0,0,0,0,4532,4843,0,0,9375,4,Parkdale-High Park,Growth Related C05
Toronto Public Library,MB Renovation Pgm Accessibility Retrofit,MB Accessibility Retrofit,0,0,90,1350,1350,1350,1350,1350,1350,1350,9540,CW,City Wide,Legislated C02
Toronto Public Library,Sanderson Neighbourhood Library Renovation,Sanderson Library - Design (SOGR),0,393,401,0,0,0,0,0,0,0,794,10,Spadina-Fort York,State of Good Repair C03
Toronto Public Library,Service and Digital Modernization,Service and Digital Modernization,0,0,0,119,122,125,129,135,143,150,923,CW,City Wide,Service Improvement and Enhancement C04
Toronto Public Library,Parliament Street Relocation and Expansion,Parliament Street Library - Design (SOGR),0,0,0,289,447,81,0,0,0,0,817,13,Toronto Centre,Growth Related C05
Toronto Public Library,Northern District Renovation & Expansion,Northern District Renovation & Expansion - Design,0,0,0,722,0,0,0,0,0,0,722,8,Eglinton-Lawrence,Growth Related C05
Toronto Police Service,Hydrogen Fuel Cells,Hydrogen Fuel Cells LR 2024-2033,0,0,0,1000,0,0,2300,2000,1200,0,6500,CW,City Wide,State of Good Repair C03
Toronto Police Service,Property and Evidence Scanners Lifecycle,Replacement Property Scanners 2024 - 2033,0,0,0,45,0,0,0,0,45,0,90,CW,City Wide,State of Good Repair C03
Toronto Police Service,Long Term Facility Plan,54/55 Amalgamation - Construction - 2024-2033,0,0,0,0,0,43554,12919,0,0,0,56473,CW,City Wide,Service Improvement and Enhancement C04
Toronto Police Service,Facial Recognition System Replacement,Facial Recognition 2024-2033,0,2500,0,0,0,0,2500,0,0,0,5000,CW,City Wide,State of Good Repair C03
Toronto Police Service,CED Replacement,CED Replacement 2024-2033,761,761,761,761,761,761,761,761,761,0,6849,CW,City Wide,State of Good Repair C03
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Air Handling Units,0,0,50,400,0,380,0,0,0,0,830,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Boiler Room Roof Rebuilding,0,0,415,415,0,0,0,0,0,0,830,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Lighting - Various,100,0,100,0,100,0,100,200,400,700,1700,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Windows and Doors Replacement,0,0,0,0,0,350,0,0,0,0,350,10,Spadina-Fort York,State of Good Repair C03
Toronto Zoo,Exhibit Refurbishment,Exhibit Refurbishment (Future Years),0,2000,600,1800,1650,1300,1800,1500,1888,2000,14538,25,Scarborough-Rouge Park,State of Good Repair C03
Toronto Police Service,Body worn Camera Lifecycle,Body-worn Camera Lifecycle 2024-2033,2079,2079,2079,2079,2079,2079,2079,2079,2079,0,18711,CW,City Wide,Service Improvement and Enhancement C04
Toronto Transit Commission,Fare System,Fare System - Expansion,1370,1554,1610,0,0,0,0,0,0,0,4534,CW,City Wide,Growth Related C05
Toronto Transit Commission,Signal Systems - Various,Signal Systems - SOGR,18326,22257,26629,0,0,0,0,0,0,0,67212,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Subway Track,Subway Track - SOGR,0,20438,0,0,0,0,0,0,0,0,20438,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Automotive Non-Revenue Vehicles,Automotive Non-Revenue Vehicles - SI,7132,0,0,0,0,0,0,0,0,0,7132,CW,City Wide,Service Improvement and Enhancement C04
Toronto Transit Commission,Line 1 Capacity Enhancement,Line 1 Capacity Enhancement- SI,0,0,0,0,-55700,0,0,0,0,0,-55700,CW,City Wide,Service Improvement and Enhancement C04
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist./Electric Systems -H&S,0,223,0,0,0,0,0,0,0,0,223,CW,City Wide,Health and Safety C01
Toronto Transit Commission,Yards and Roads - Various,Yards and Roads - Legislated,177,38,459,0,0,0,0,0,0,0,674,CW,City Wide,Legislated C02
Toronto Transit Commission,Other Service Planning,Other Service Planning - Legislated,0,0,0,0,0,-3,0,0,0,0,-3,CW,City Wide,Legislated C02
Toronto Transit Commission,Purchase of 360 Wheel-Trans Vehicles,Purchase of 360 Wheel-Trans Vehicle,3221,8342,1441,0,0,0,0,0,0,0,13004,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Tools and Shop Equipment,Tools and Shop Equipment - SOGR,9778,7724,0,0,0,0,0,0,0,0,17502,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Equipment - Various,Equipment -SOGRS,34440,38465,21473,18068,0,0,0,0,0,0,112446,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Easier Access Phase II & III,Easier Access Phase III - Legislated,60221,4119,27989,29823,10148,0,0,0,0,0,132300,CW,City Wide,Legislated C02
Toronto Transit Commission,Leslie Barns Streetcar Maint. & Storage Facility,Leslie Barns Streetcar Main. & Storage Facility,76,568,1250,1064,0,0,0,0,0,0,2958,14,Toronto-Danforth,State of Good Repair C03
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist/Electric Systems - Improvement,254,0,0,0,0,0,0,0,0,0,254,CW,City Wide,Service Improvement and Enhancement C04
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist./Electric Systems - SOGR,0,0,0,0,0,0,12323,0,0,0,12323,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Yonge Bloor Capacity Improvements,Yonge Bloor Capacity Improvements,0,0,0,0,0,3789,35397,59350,42606,216275,357417,11,University-Rosedale,Service Improvement and Enhancement C04
Toronto Transit Commission,Yonge Bloor Capacity Improvements,Yonge Bloor Capacity Improvements,0,0,0,0,0,31828,10322,11901,19359,382,73792,11,University-Rosedale,Service Improvement and Enhancement C04
Spadina Subway Extension,Spadina Subway Extension VCC,Spadina Subway Extension,16056,6797,0,0,0,0,0,0,0,0,22853,CW,City Wide,Growth Related C05
Scarborough Subway Extension,Scarborough Subway Extension,SRT Life Extension,0,0,-600,0,0,0,0,0,0,0,-600,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Finishes - Various,Finishes- H&S,1325,0,0,0,0,0,0,0,0,0,1325,CW,City Wide,Health and Safety C01
Toronto Transit Commission,Easier Access Phase II & III,Easier Access Phase III - Legislated,0,0,0,0,0,-1084,0,0,0,0,-1084,CW,City Wide,Legislated C02
Toronto Transit Commission,Equipment - Various,Equipment -SOGRS,0,0,0,0,-7129,-6585,11668,-3588,5998,15584,15948,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Finishes - Various,Finishes- H&S,0,0,1417,1469,1521,1574,1626,1680,1745,1810,12842,CW,City Wide,Health and Safety C01
Toronto Transit Commission,Purchases of Buses,Purchases of Buses,68,0,0,0,0,0,0,0,0,0,68,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade - SOGR,0,7318,6469,8015,12148,13370,12997,14495,11776,5189,91777,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade - SOGR,0,530,4546,2544,14411,12506,14658,16429,8865,0,74489,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Signal Systems - Various,Signal Systems - Various,0,0,0,17303,7940,7367,7269,12854,10128,7132,69993,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Subway Track,Subway Track - SOGR,0,0,23198,23878,23342,20758,0,0,5329,5190,101695,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Surface Track,Surface Track - SOGR,0,0,0,48074,44402,24533,0,25201,10536,5948,158694,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Surface Track,Surface Track - SOGR,0,0,0,13167,9891,0,0,0,0,0,23058,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Other Maintenance Equipment,Other Maintenance Equipment - SOGR,0,0,0,60,61,63,64,64,66,66,444,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Traction Power - Various,2023 Reduction Target - Traction Power - SOGR,0,0,0,4144,5072,0,29875,23790,11942,19891,94714,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Traction Power - Various,2023 Reduction Target - Traction Power - SOGR,0,0,0,0,0,0,0,0,8228,11998,20226,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Bridges and Tunnels - Various,Bridges and Tunnels - SOGR,0,0,0,27485,21322,11986,0,15959,10419,0,87171,CW,City Wide,State of Good Repair C03
Toronto Transit Commission,Bus Overhaul Program,Bus Overhaul Program - SOGR,0,0,6305,2762,29959,81379,0,15602,2376,15005,153388,CW,City Wide,State of Good Repair C03
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,SLUDGE STORAGE TANK AND DIGESTER - FUTURE,0,250,0,125,250,3440,1275,0,3440,1150,9930,CW,City Wide,State of Good Repair C03
Water Program,DIST WATER SERVICE REPAIR,10 YR WATER SERVICE REPAIR - WITH WM SL,0,0,0,2400,4800,6000,6000,6000,6000,6000,37200,CW,City Wide,Legislated C02
Wastewater Program,SEWER ASSET PLANNING,SEWER ASSET PLANNING - 10 YEAR,0,0,23,23,23,296,319,319,296,292,1591,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SEWER ASSET PLANNING,SEWER SYSTEM INSPECTION - 10 YEAR PLAN,0,0,0,0,0,9000,15000,15000,15000,15000,69000,CW,City Wide,State of Good Repair C03
Water Program,WT&S PLANTWIDE,STANDBY POWER - FUTURE - ENG,0,0,11,84,106,179,344,207,68,4,1003,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WT&S PLANTWIDE,STANDBY POWER - FUTURE - CONSTRUCTION,0,0,0,3228,8609,7892,3945,1076,0,0,24750,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,SCADA MASTER PLAN,0,509,310,210,610,210,210,210,210,210,2689,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,BUSINESS & TECHNICAL IMPROVEMENTS - 10 YEAR PLAN,0,0,374,1728,2563,2133,1976,2014,2053,1929,14770,CW,City Wide,Service Improvement and Enhancement C04
Water Program,ISLAND W.T.P. R&R,FACILITY & PROCESS UPGRADES - FUTURE,0,0,0,0,250,375,375,375,375,625,2375,CW,City Wide,State of Good Repair C03
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & Waterfront Trunk/CSO Constr - OFFLINE TANKS,0,0,0,0,0,0,215,644,644,1145,2648,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,"STUDY, EA, MASTER PLAN UPDATES - FUTURE",0,0,617,2002,1836,1239,1241,485,499,514,8433,CW,City Wide,State of Good Repair C03
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,WATERCOURSE - ENGINEERING - FUTURE,0,219,877,1517,2010,1930,2364,2259,1312,539,13027,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SPS STUDIES,0,300,100,0,0,0,0,0,0,0,400,CW,City Wide,Growth Related C05
Wastewater Program,NEW SEWER CONSTRUCTION,WSMSP IMPLEMENTATION - SCOTT ST PS,0,0,0,0,0,0,0,0,15,315,330,CW,City Wide,Growth Related C05
Wastewater Program,BASEMENT FLOODING RELIEF,10 YEAR BASEMENT FLOODING STUDIES & EAs,0,0,200,322,325,329,333,337,341,345,2532,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 6,0,0,1116,1240,1364,1612,1612,1488,1811,0,10243,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,EGLINTON-LAWRENCE SANITARY RELIEF (40-11),0,928,1300,1253,371,0,0,0,0,0,3852,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - COXWELL CONNECTIONS,0,0,0,464,4642,6035,1393,3435,22932,46886,85787,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SEWER REPLACEMENT PROGRAM,10YR SEWER REPLACEMENT,0,10022,14317,20282,20282,20282,20282,20282,20282,10260,156291,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,PROCESS AND FACILTIES - FUTURE,0,0,0,1300,1300,1300,1300,1300,1300,1300,9100,CW,City Wide,State of Good Repair C03
Toronto Parking Authority,CCTV (Security of garages) via City of Toronto,CCTV (Security of Garages) via City of Toronto,978,2770,2230,1750,1030,689,340,0,0,0,9787,CW,City Wide,Health and Safety C01
Water Program,DIST W/M REPLACEMENT,10 YEAR WATERMAIN REPLACEMENT,0,2249,3149,3978,4121,3923,4060,4064,3896,923,30363,CW,City Wide,State of Good Repair C03
Water Program,ENGINEERING,PPFA SALARIES - FUTURE,0,0,0,2490,2565,2642,2721,2802,2886,2972,19078,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Green Lane Landfill Development,Engineering and Monitoring Future Years,0,0,0,0,0,300,300,300,300,300,1500,CW,City Wide,Legislated C02
Solid Waste Management Services,Diversion Systems Bins,2nd Generation Green Bin Replacement - Future Year,0,0,0,0,400,400,400,400,400,400,2400,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,PERPETUAL CARE OF LANDFILLS,BROCK WEST,0,0,0,0,0,896,896,896,896,896,4480,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Site Services/Final Cover/Storm Control,103,140,0,1120,0,0,0,0,0,0,1363,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,BUFFER LAND ACQUSITION,0,0,-1902,0,0,0,0,0,0,0,-1902,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Engineering & Monitoring,92,225,0,1800,0,0,0,0,0,0,2117,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Landfill Gas Control System,-1835.51,0,0,0,0,0,0,0,0,0,-1835.51,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Leachate Control System,4494,1000,870,0,330,0,0,0,0,0,6694,CW,City Wide,Legislated C02
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,17,0,0,0,0,0,0,0,0,0,17,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,-17,0,0,0,0,0,0,0,0,0,-17,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Diversion Systems Bins,SSO IN-UNIT KITCHEN CONTAINERS,73,80,80,80,85,0,0,0,0,0,398,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,7,3,0,0,0,0,0,0,0,0,10,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,OPF ASSET MANAGEMENT,DISCO OPF,-315,392,997,553,-314,-1412,0,0,0,0,-99,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,OPF ASSET MANAGEMENT,DUFFERIN OPF,-1017,713,-296,1371,0,0,0,0,0,0,771,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Green Lane Landfill Development,Cell Excavation & Base Construction,1815,1815,6252,0,0,0,0,0,0,0,9882,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Landfill Gas Utilization,-16597,-3591,20600,14600,0,0,0,0,0,0,15012,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Green Lane Landfill Development,BUFFER LAND ACQUSITION,0,-750,1800,0,0,0,0,0,0,0,1050,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,BUFFER LAND ACQUSITION,0,-2250,1200,0,0,0,0,0,0,0,-1050,CW,City Wide,Legislated C02
Solid Waste Management Services,SWM IT Application Initiatives,TOwaste Mobile App version 2.0,265,0,0,0,0,0,0,0,0,0,265,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Mobile Data Collector 2 - EH&SC assessments,352,0,0,0,0,0,0,0,0,0,352,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Mobile Service Request Management,1608,57,0,0,0,0,0,0,0,0,1665,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Integration Architecture Design & Implementation,-261,261,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Transfer Station Efficiencies,159,12,41,0,0,0,0,0,0,0,212,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Diversion Systems Bins,2nd Generation Green Bin Replacement,-50,-50,400,400,0,0,0,0,0,0,700,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Diversion Systems Bins,MULTI-RESIDENTIAL IN-UNIT RECYCLING BAGS,0,0,0,0,21,20,0,0,0,0,41,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,1849,1458,751,230,-71,-578,-325,530,0,0,3844,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,BERMONDSEY TS,-236,-668,-613,51,192,999,694,389,0,0,808,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,TSAM GENERAL,309,227,293,-21,261,-370,-111,875,0,0,1463,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,294,-26,-145,-73,-223,-116,77,-270,413,0,-69,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,INGRAM TS,341,1167,-7,734,797,942,44,-1100,206,2349,5473,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENANCE YARD,4,-12,-47,-54,162,77,90,39,-249,78,88,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - INGRAM,177,54,99,112,184,195,255,142,92,23,1333,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - GENERAL,20,-3.47,16.05,-35,77,78,174,234,1017,1384,2961.58,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Long Term Waste Management Strategy,MIXED WASTE PROCESSING W/ ORGANICS RCVRY,0,0,0,0,0,-550,-173,0,0,0,-723,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Long Term Waste Management Strategy,MIXED WASTE PROCESSING W/ ORGANICS RCVRY,0,-701,-917,550,550,550,173,0,0,0,205,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Long Term Waste Management Strategy,EXTENDED PRODUCER RESPONSIBILITY TRANSITION,850,150,0,0,0,0,0,0,0,0,1000,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Long Term Waste Management Strategy,PROMO & EDU / UFRICE / 3RS&MR,1500,1350,1223,0,0,0,0,0,0,0,4073,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Long Term Waste Management Strategy,LONG TERM WASTE MANAGEMENT STRATEGY UPDATE,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,DISCO TS,178,49,-543,-112,388,61,-61,491,0,0,451,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Perpetual Care of Landfills,Perpetual Care of Landfills-CSW312-16,0,570,0,0,0,0,0,0,0,0,570,CW,City Wide,Legislated C02
Solid Waste Management Services,PERPETUAL CARE OF LANDFILLS,BEARE ROAD,82,-18,-1018,-110,-110,-110,-110,0,0,0,-1394,CW,City Wide,Legislated C02
Solid Waste Management Services,Dufferin SSO Facility,Dufferin SSO Facility,11,0,0,0,0,0,0,0,0,0,11,CW,City Wide,Growth Related C05
Solid Waste Management Services,ORGANICS PROCESSING FACILITY,ORGANIC PROCESSING FACILITY,-23201,-3661,16983,16461,-2203,0,0,0,0,0,4379,CW,City Wide,Growth Related C05
Solid Waste Management Services,ORGANICS PROCESSING FACILITY,ORGANIC PROCESSING FACILITY,177,2295,2086,-8623,-4451,0,0,0,0,0,-8516,CW,City Wide,Growth Related C05
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - BERMONDSEY,120,176,0,0,0,0,0,0,0,0,296,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - INGRAM,142,152,200,0,0,0,0,0,0,0,494,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - YONGE,51,58,0,0,0,0,0,0,0,0,109,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - GENERAL,165,120,0,0,0,0,0,0,0,0,285,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER SYSTEM REHABILITATION,LARGE DIAMETER CSP RENEWAL,3200,3750,3750,3750,2000,0,0,0,0,0,16450,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER SYSTEM REHABILITATION,BRICK SEWER RENEWAL,1500,7500,5500,4500,2500,900,0,0,0,0,22400,CW,City Wide,State of Good Repair C03
Wastewater Program,TRUNK SEWER SYSTEM,EMERGENCY TRUNK SEWER REPAIRS,350,0,0,0,0,0,0,0,0,0,350,CW,City Wide,State of Good Repair C03
Wastewater Program,NEW SEWER CONSTRUCTION,WATERFRONT SANITARY MASTER SERVICING PLAN IMPLEMEN,10140,3971,840,652,591,175,175,175,0,0,16719,CW,City Wide,Growth Related C05
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,CRITICAL REPAIRS,3091,592,70,78,98,72,340,440,15,0,4796,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - ENGINEERING,0,0,0,46,2785,2785,1532,1207,8542,0,16897,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,M & T PUMPING STATION CRITICAL REPAIRS,2627,320,20,0,0,0,0,0,0,0,2967,CW,City Wide,State of Good Repair C03
Wastewater Program,WET WEATHER FLOW MP,STORM WATER POND ASSESSMENT & CLEANING,1250,1050,550,400,450,250,200,0,0,0,4150,CW,City Wide,State of Good Repair C03
